starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 29 15:24:37 2018	1532888677	0	710	710	105
Sun Jul 29 15:24:52 2018	1532888692	0	711	711	101
Sun Jul 29 15:25:27 2018	1532888727	0	712	712	105
Sun Jul 29 15:25:27 2018	1532888727	0	712	712	128
Sun Jul 29 15:25:27 2018	1532888727	0	712	713	212
Sun Jul 29 15:25:27 2018	1532888727	0	712	713	278
Sun Jul 29 15:25:27 2018	1532888727	0	713	713	369
Sun Jul 29 15:25:27 2018	1532888727	0	713	713	405
Sun Jul 29 15:25:27 2018	1532888727	0	713	713	511
Sun Jul 29 15:25:27 2018	1532888727	0	713	713	583
Sun Jul 29 15:25:27 2018	1532888727	0	713	713	624
Sun Jul 29 15:25:27 2018	1532888727	0	713	713	711
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	107
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	182
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	631
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	714
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	251
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	315
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	378
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	435
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	499
Sun Jul 29 15:25:59 2018	1532888759	0	715	715	544
Sun Jul 29 15:25:14 2018	1532888714	0	716	716	225
Sun Jul 29 15:25:14 2018	1532888714	0	716	716	161
Sun Jul 29 15:25:14 2018	1532888714	0	716	716	390
Sun Jul 29 15:25:14 2018	1532888714	0	716	716	325
Sun Jul 29 15:25:14 2018	1532888714	0	716	716	239
Sun Jul 29 15:25:14 2018	1532888714	0	716	716	94
Sun Jul 29 15:25:14 2018	1532888714	0	717	717	468
Sun Jul 29 15:25:14 2018	1532888714	0	717	717	531
Sun Jul 29 15:25:14 2018	1532888714	0	717	717	617
Sun Jul 29 15:25:14 2018	1532888714	0	717	717	715
Sun Jul 29 15:24:52 2018	1532888692	0	717	717	158
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	709
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	637
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	604
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	517
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	458
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	352
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	236
Sun Jul 29 15:24:52 2018	1532888692	0	718	718	309
Sun Jul 29 15:25:31 2018	1532888731	0	719	719	718
Sun Jul 29 15:25:31 2018	1532888731	0	719	719	634
Sun Jul 29 15:25:31 2018	1532888731	0	719	719	503
Sun Jul 29 15:25:31 2018	1532888731	0	719	719	417
Sun Jul 29 15:25:31 2018	1532888731	0	719	719	339
Sun Jul 29 15:25:31 2018	1532888731	0	719	719	262
Sun Jul 29 15:26:35 2018	1532888795	0	720	720	642
Sun Jul 29 15:26:35 2018	1532888795	0	720	720	719
Sun Jul 29 15:26:35 2018	1532888795	0	720	720	114
Sun Jul 29 15:26:35 2018	1532888795	0	720	720	192
Sun Jul 29 15:26:35 2018	1532888795	0	720	721	224
Sun Jul 29 15:26:35 2018	1532888795	0	720	721	343
